NOME_VIA,CIRCOSCRIZ,DENOMINAZI,coordinate_x,coordinate_y
VIA AL CRISTO,1 CENTRO STORICO,Fontana di  Via Nizza,11.000175313722494,45.44253497433031
CIRCONVALLAZIONE RAGGIO DI SOLE,1 CENTRO STORICO,Laghetto dei Cigni -  Bastione Raggio di Sole,10.99207989351338,45.43081242836916
PIAZZA DELLE ERBE,1 CENTRO STORICO,Fontana  della Berlina - Piazza Erbe,10.997272002678834,45.44298380850603
PIAZZA DELLE ERBE,1 CENTRO STORICO,Fontana Madonna Verona - Piazza Erbe,10.997051286919266,45.443234594101725
PIAZZETTA NAVONA,1 CENTRO STORICO,Fontana Piazzetta Navona - Piazzetta Navona,10.998666988665075,45.44257589688088
PIAZZA PRADAVAL,1 CENTRO STORICO,Fontana ai Caduti del Mare - Piazza Pradaval,10.989789942233603,45.43567249324473
PIAZZA PRADAVAL,1 CENTRO STORICO,Fontana ai Caduti Civili di Guerra - Piazza Pradaval,10.989926055365023,45.43609845876453
VICOLO TERRA',1 CENTRO STORICO,Fontana interna Cortile Nani - Via XX Settembre,11.009215645831182,45.439984554398485
CORTE DOGANA,1 CENTRO STORICO,Fontana  della Dogana - Via Corte della Dogana,11.000061489191308,45.43790446586412
PIAZZETTA CASTELVECCHIO,1 CENTRO STORICO,Fontana biblioteca di Castelvecchio  - Corso Castelvecchio,10.988243764171806,45.43986810263379
CORSO CASTELVECCHIO,1 CENTRO STORICO,"1 Fontana giardino di Castelvecchio ""bue"" - Corso Castelvecchio",10.988222201531377,45.43982579744986
PONTE CASTELVECCHIO,1 CENTRO STORICO,Fontana giardino pensile Castelvecchio - Corso Castelvecchio,10.98756995238239,45.439318371806486
VIA MAZZINI,1 CENTRO STORICO,Fontana delle Due Campane - Via Mazzini,10.994806246230986,45.44071299316947
VIA VIPACCO,1 CENTRO STORICO,"Fontana  interna Museo Storia Naturale - L,ge Nicola Pasetto",11.00276855697579,45.43813254891711
VIA UMBERTO MADDALENA,3 OVEST,Fontana  giardini del Saval - Via Marin Faliero,10.965412723521856,45.452596787323785
PIAZZA ANGELO DALL'OCA BIANCA,3 OVEST,Fontana Giardini Piazza Dall'Oca Bianca - Piazza Dall'Oca Bianca,10.958153023061165,45.44978880085058
VIA LAVELLO,2 NORD-OVEST,Fontana  piazza di Quinzano - Piazza Righetti,10.975204687369272,45.47177219942086
VIA MARIO TODESCHINI,2 NORD-OVEST,Fontana interna Arsenale  - Piazza Arsenale,10.987033168966471,45.44348951048619
VIA IPPOLITO NIEVO,2 NORD-OVEST,Fontana  Campo giochi Nievo - Via Ippolito Nievo,10.99754260547502,45.45049203588886
PIAZZA ARSENALE,2 NORD-OVEST,Fontana  Campo giochi Arsenale - Piazza Arsenale,10.986630027538547,45.44206321701672
PIAZZA AVESA,2 NORD-OVEST,Fontana  Giardini di Avesa - Piazza Avesa,10.989255087324722,45.470075022130665
PIAZZA DEL PORTO,2 NORD-OVEST,Fontana  Giardini Parona - Piazza del Porto,10.949598804753274,45.475676195758616
PIAZZA V. VENETO,2 NORD-OVEST,Fontana ai Caduti di  Vittorio Veneto - Piazza Vittorio Veneto,10.987784700756398,45.44809939823471
LUNGADIGE CANGRANDE,2 NORD-OVEST,Fontana  ai Mascheroni - Piazza Arsenale,10.985777631534562,45.441412084102254
PIAZZA ARSENALE,2 NORD-OVEST,Vasca giardini dell'Arsenale - Piazza Arsenale,10.98565194262817,45.44180461950994
VIA CASTELLO SAN FELICE,2 NORD-OVEST,Vasca  parco delle Colombare - Parco delle Colombare,11.006659659877116,45.45392284878668
VIA LORENZO PEROSI,6 EST,Fontana  Giardini di Via Verdi - Via Verdi,11.024796401317536,45.45049851157901
PIAZZA LIBERO VINCO,6 EST,Fontana  Piazza Libero Vinco - Piazza Libero Vinco,11.019889621302855,45.4423643616271
VIA GIARDINI ZARDINI GAETANO,6 EST,Fontana  Giardini di Via Cimarosa - Via Cimarosa,11.032007750764311,45.44875591052133
VIA GIARDINO MARINO OFFEDDU,6 EST,Fontana  Giardini Grandi di Borgo Venezia - Via Plinio,11.028435393714044,45.44284598154689
VIA GIARDINI ROBERT BADEN POWELL,6 EST,Fontana Giardini di Porta Vescovo - Via Barana,11.015320359049502,45.44078615460021
PIAZZA MADONNA DI CAMPAGNA,7 SUD-EST,Fontana Madonna di Campagna - Piazza Madonna di Campagna,11.05020885216166,45.43040536149909
PIAZZA DEL POPOLO,7 SUD-EST,Fontana  Piazza di San Michele Extra - Piazza del Popolo,11.04322487138537,45.434076877265404
